level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,description
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,,,,,,"The ability to withhold or prevent an action before it begins, particularly in response to tempting or triggering stimuli"
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Effort Maintenance,,,,,The ability to anticipate potential negative outcomes of actions.
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Effort Maintenance,Energy Management,,,,The ability to weigh potential risks against potential benefits.
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Effort Maintenance,Focus Sustainability,,,,The capacity to modify behavior based on potential negative consequences.
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Obstacle Management,,,,,The ability to suppress potentially harmful or inappropriate behaviors.
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Obstacle Management,Problem-Solving Application,,,,The ability to choose safer or more appropriate behavioral options.
Motivation and Goal-Directed Behavior,Goal Pursuit,Persistence,Obstacle Management,Frustration Tolerance,,,,"The ability to establish, plan, and prioritize meaningful short-term and long-term objectives."
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,,,,,,The ability to break down objectives into manageable steps and create actionable plans.
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Self-Assessment,,,,,"The ability to break down complex goals into smaller, manageable components."
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Self-Assessment,Progress Evaluation,,,,The ability to identify essential elements and subtasks of a larger goal.
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Self-Assessment,Performance Analysis,,,,The ability to arrange subtasks in a logical and efficient order.
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Strategy Adjustment,,,,,The ability to identify and evaluate resources needed to achieve goals.
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Strategy Adjustment,Effectiveness Review,,,,The ability to determine what resources are necessary for goal achievement.
Motivation and Goal-Directed Behavior,Goal Pursuit,Progress Monitoring,Strategy Adjustment,Method Adaptation,,,,The ability to evaluate access to and adequacy of available resources.
Self-Concept and Identity,,,,,,,,The capacity to rank and organize multiple goals based on importance and feasibility.
Self-Concept and Identity,Personal Identity,,,,,,,The ability to evaluate the relative importance and personal significance of different goals.
Self-Concept and Identity,Personal Identity,Value System,,,,,,The ability to assess how well goals align with personal values and priorities.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,,,,,The ability to assess the potential benefits and outcomes of different goals.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Ethical Decision-Making,,,,The ability to sequence goals and organize them according to timing and deadlines.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Ethical Decision-Making,Moral Deliberation,,,The ability to establish realistic timeframes for goal completion.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Ethical Decision-Making,Value Application,,,The ability to incorporate goal-related tasks into existing schedules.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Ethical Decision-Making,Consequence Evaluation,,,The flexibility to adjust goals and plans in response to changing circumstances or feedback.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Moral Reasoning,,,,The ability to incorporate feedback and adjust goals accordingly.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Moral Reasoning,Perspective Taking,,,The ability to reframe situations to change their emotional impact
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Moral Reasoning,Moral Analysis,,,The ability to identify and understand relevant feedback about goal progress.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Moral Reasoning,Principle Application,,,The ability to revise goals based on feedback and new information.
Self-Concept and Identity,Personal Identity,Value System,Moral Values,Value Prioritization,,,,The capacity to modify goals in response to changing circumstances or constraints.
Self-Concept and Identity,Personal Identity,Value System,Personal Standards,,,,,The ability to evaluate changes in circumstances affecting goal achievement.
Self-Concept and Identity,Personal Identity,Value System,Personal Standards,Achievement Standards,,,,The ability to modify plans in response to changing conditions.
Self-Concept and Identity,Personal Identity,Value System,Personal Standards,Behavioral Standards,,,,"The capacity to initiate and maintain effort towards achieving established goals, including persistence in the face of obstacles."
Self-Concept and Identity,Personal Identity,Value System,Personal Standards,Standard Flexibility,,,,The ability to begin goal-directed actions without external prompting.
Self-Concept and Identity,Personal Identity,Value System,Belief Systems,,,,,The ability to start tasks or activities independently.
Self-Concept and Identity,Personal Identity,Value System,Belief Systems,Existential Beliefs,,,,The ability to overcome inertia and begin working on planned activities.
Self-Concept and Identity,Personal Identity,Value System,Belief Systems,Spiritual/Religious Beliefs,,,,The ability to generate early progress and engagement in tasks.
Self-Concept and Identity,Personal Identity,Value System,Belief Systems,Worldview Integration,,,,The tendency to anticipate and prepare for future actions or needs.
Self-Concept and Identity,Personal Identity,Personal Traits,,,,,,The ability to identify necessary preparations for future actions.
Self-Concept and Identity,Personal Identity,Personal Traits,Personality Awareness,,,,,The ability to arrange resources and conditions for future task completion.
Self-Concept and Identity,Personal Identity,Personal Traits,Temperament Recognition,,,,,The ability to maintain effort and focus on goals despite challenges or setbacks.
Self-Concept and Identity,Personal Identity,Personal Traits,Behavioral Patterns,,,,,The ability to sustain consistent effort over time toward goal completion.
Self-Concept and Identity,Personal Identity,Life Goals,,,,,,The ability to regulate and sustain mental and physical energy for task completion.
Self-Concept and Identity,Personal Identity,Life Goals,Career Aspirations,,,,,The ability to maintain attention and concentration on goal-related tasks.
Self-Concept and Identity,Personal Identity,Life Goals,Personal Growth Objectives,,,,,The capacity to overcome barriers and continue pursuing goals despite difficulties.
Self-Concept and Identity,Personal Identity,Life Goals,Life Purpose,,,,,The ability to generate and implement solutions to overcome obstacles.
Self-Concept and Identity,Social Identity,,,,,,,The ability to maintain effort and composure when facing difficulties.
Self-Concept and Identity,Social Identity,Cultural Identity,,,,,,The capacity to track and evaluate progress toward goals and adjust efforts accordingly.
Self-Concept and Identity,Social Identity,Cultural Identity,Cultural Values Integration,,,,,The ability to evaluate one's own performance and progress toward goals.
Self-Concept and Identity,Social Identity,Cultural Identity,Cultural Practice Engagement,,,,,The ability to accurately assess advancement toward goal completion.
Self-Concept and Identity,Social Identity,Cultural Identity,Cultural Background Awareness,,,,,The ability to evaluate the quality and effectiveness of goal-directed efforts.
Self-Concept and Identity,Social Identity,Group Membership,,,,,,The ability to modify approaches based on progress evaluation.
Self-Concept and Identity,Social Identity,Group Membership,Social Group Affiliation,,,,,The ability to evaluate the success of current strategies.
Self-Concept and Identity,Social Identity,Group Membership,Community Integration,,,,,The ability to modify or change approaches when current methods are ineffective.
Self-Concept and Identity,Social Identity,Group Membership,Peer Group Identity,,,,,"The individual's understanding, perception, and evaluation of themselves, including their personal characteristics, abilities, values, and place in the world."
Self-Concept and Identity,Social Identity,Role Identity,,,,,,"The sense of self that includes personal values, beliefs, and characteristics that make an individual unique."
Self-Concept and Identity,Social Identity,Role Identity,Family Role Integration,,,,,"Individual's core beliefs, moral principles, and personal standards that guide behavior and decision-making."
Self-Concept and Identity,Social Identity,Role Identity,Professional Role Identity,,,,,Core principles about right and wrong that guide ethical decision-making and behavior.
Self-Concept and Identity,Social Identity,Role Identity,Social Role Adaptation,,,,,Process of making choices based on moral principles and values.
Self-Concept and Identity,Self-Evaluation,,,,,,,Process of carefully weighing different moral considerations in decision-making.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,,,,,,Ability to apply moral values to specific situations and choices.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Global Self-Worth,,,,,Assessment of potential outcomes and their moral implications.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Global Self-Worth,Self-Acceptance,,,,Ability to analyze and evaluate moral situations and dilemmas.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Global Self-Worth,Core Self-Value,,,,Ability to consider multiple viewpoints in moral situations.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Global Self-Worth,Self-Respect,,,,Capacity to break down complex moral issues into components.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Domain-Specific Self-Esteem,,,,,Ability to apply moral principles to specific situations.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Domain-Specific Self-Esteem,Academic Self-Esteem,,,,Ability to rank and prioritize different moral values in complex situations.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Domain-Specific Self-Esteem,Social Self-Esteem,,,,Individual benchmarks and expectations for one's own behavior and achievements.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Domain-Specific Self-Esteem,Physical Self-Esteem,,,,Personal expectations for performance and accomplishment.
Self-Concept and Identity,Self-Evaluation,Self-Esteem,Conditional Self-Acceptance,,,,,Self-imposed rules and expectations for conduct.
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,,,,,,Ability to adjust personal standards based on context and circumstances.
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,Task-Specific Confidence,,,,,"Framework of ideas and principles about life, spirituality, and meaning."
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,Task-Specific Confidence,Performance Confidence,,,,Core beliefs about the meaning of life and existence.
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,Task-Specific Confidence,Challenge Management,,,,Personal beliefs related to spirituality or religion.
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,Task-Specific Confidence,Skill Application,,,,How various beliefs are integrated into a coherent worldview.
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,General Capability Beliefs,,,,,"Individual's understanding of their own personality characteristics, temperament, and behavioral tendencies."
Self-Concept and Identity,Self-Evaluation,Self-Efficacy,Learning Self-Efficacy,,,,,Understanding of one's stable personality traits and characteristics.
Self-Concept and Identity,Self-Evaluation,Competence Assessment,,,,,,Awareness of one's emotional and behavioral predispositions.
Self-Concept and Identity,Self-Evaluation,Competence Assessment,Skill Evaluation,,,,,Recognition of consistent patterns in one's actions and responses.
Self-Concept and Identity,Self-Evaluation,Competence Assessment,Achievement Recognition,,,,,"Individual's aspirations, purposes, and long-term objectives that shape their sense of direction and meaning."
Self-Concept and Identity,Self-Evaluation,Competence Assessment,Development Awareness,,,,,Goals and ambitions related to professional development and work life.
Self-Concept and Identity,Self-Awareness,,,,,,,Goals related to self-improvement and personal development.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,,,,,,"The ability to recognize, identify, and understand one's own emotional states and their triggers"
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotion Recognition,,,,,The ability to identify and label different emotional experiences as they occur
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Pattern Understanding,,,,,Sense of meaning and direction in life beyond specific goals.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Intensity Awareness,,,,,How individuals understand and experience themselves in relation to various social groups and cultural contexts.
Self-Concept and Identity,Self-Awareness,Behavioral Awareness,,,,,,"Understanding of oneself in relation to cultural background, traditions, and beliefs."
Self-Concept and Identity,Self-Awareness,Behavioral Awareness,Action Awareness,,,,,How cultural values are incorporated into personal identity.
Self-Concept and Identity,Self-Awareness,Behavioral Awareness,Habit Recognition,,,,,Participation in and connection to cultural traditions and customs.
Self-Concept and Identity,Self-Awareness,Behavioral Awareness,Consequence Understanding,,,,,Understanding of one's cultural heritage and its influence.
Self-Concept and Identity,Self-Awareness,Interpersonal Impact,,,,,,Sense of belonging and identification with various social groups and communities.
Self-Concept and Identity,Self-Awareness,Interpersonal Impact,Social Effect Awareness,,,,,Connection to and identification with specific social groups.
Self-Concept and Identity,Self-Awareness,Interpersonal Impact,Relationship Impact,,,,,Sense of belonging within larger community structures.
Self-Concept and Identity,Self-Awareness,Interpersonal Impact,Social Presence,,,,,Self-perception in relation to peer groups and social circles.
Self-Concept and Identity,Identity Development,,,,,,,Self-perception based on social roles and responsibilities in different contexts.
Self-Concept and Identity,Identity Development,Identity Exploration,,,,,,Understanding of one's position and responsibilities within family structure.
Self-Concept and Identity,Identity Development,Identity Exploration,Role Experimentation,,,,,Self-perception in occupational or academic contexts.
Self-Concept and Identity,Identity Development,Identity Exploration,Value Exploration,,,,,Ability to adjust to different social roles across contexts.
Self-Concept and Identity,Identity Development,Identity Exploration,Interest Development,,,,,"The process of assessing one's own worth, capabilities, and attributes across different domains of life."
Self-Concept and Identity,Identity Development,Identity Commitment,,,,,,Overall emotional evaluation of one's own worth and value.
Self-Concept and Identity,Identity Development,Identity Commitment,Value Adherence,,,,,General sense of value and acceptance of oneself.
Self-Concept and Identity,Identity Development,Identity Commitment,Role Commitment,,,,,Ability to embrace both strengths and limitations.
Self-Concept and Identity,Identity Development,Identity Commitment,Goal Persistence,,,,,Fundamental belief in one's inherent worth.
Self-Concept and Identity,Identity Development,Identity Integration,,,,,,Maintenance of personal dignity and standards of self-treatment.
Self-Concept and Identity,Identity Development,Identity Integration,Self-Consistency,,,,,"Self-evaluation in specific areas of life such as academic, social, or physical."
Self-Concept and Identity,Identity Development,Identity Integration,Role Integration,,,,,Self-evaluation of academic abilities and performance.
Self-Concept and Identity,Identity Development,Identity Integration,Life Transition Management,,,,,Self-evaluation of social skills and relationships.
